source_filename,Agreement Name,Agreement Type,Agreement Date,Agreement Date Conformed,Party1 Name,Party1 Role,Party2 Name,Party2 Role,Term,Term Conformed,Renewal Term,Renewal Term Conformed, Recurring Monthly Charges , Nonrecurring Charges ,Connection Services,Professional Services,Equipment,Locations,Contract Type,Agreement_Name,Agreement_Type,Agreement_Date,Agreement_Date_Conformed,Party1_Name,Party1_Role,Party2_Name,Party2_Role,Term_Conformed,Renewal_Term,Renewal_Term_Conformed,Recurring_Monthly_Charges,Nonrecurring_Charges,Connection_Services,Professional_Services,Notes,Amendment,CA_Number,Pilot BTN,descriptive_text,Document Title,Contact Names,Clauses,Provider,Customer,Amendments,Comments,Additional Notes,Changes
"10541592407734_Encore Spectrum coax #360 L'Ermitage Place Therapy Gym Stow, OH.pdf",Spectrum Business Business Cable Order 280585,Order,6-Dec-18,12/6/2018,Spectrum Business,Provider,DCI for Encore Rehab,Customer,0 Years,0,,, $74.98 ,,['BUSINESS CABLE 100x10M with 1 Static IP'],,,"['2910 LERMITAGE PL THERAPY GYM STOW, OH 44224-5219', '1700 Union Ave Suite B Baltimore MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592407895_Encore Rehab Spectrum Coax # 360 Maplewood Dr Therapy Gym Streetsboro, OH.pdf",Spectrum Business Business Cable Order 280584,Order,6-Dec-18,12/6/2018,Spectrum Business,Provider,DCI FOR ENCORE REHAB,Customer,0 Years,0,,, $74.98 ,,['BUSINESS CABLE 100x10M with 1 Static IP'],[],[],"['1645 MAPLEWOOD DR THERAPY GYM STREETSBORO, OH 44241-5662', '1700 Union Ave Suite B Baltimore MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592412511_Encore Rehab Spectrum Coax #360 S Cleveland Massillon Rd Therapy Gym 1st Flr Fairlawn, OH.pdf",Spectrum Business Business Cable Order 280582,Order,6-Dec-18,12/6/2018,Spectrum Business,Provider,DCI for Encore Rehab,Customer,0 Years,0,,, $74.98 ,,['BUSINESS CABLE 100x10M with 1 Static IP'],[],[],"['575 S CLEVELAND MASSILLON RD THERAPY GYM 1ST FLR FAIRLAWN, OH 44333-3019', '1700 Union Ave Suite B Baltimore MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592412347_Encore Rehab Spectrum coax # 360 Crider Rd Therapy Gym office Mansfield, OH.pdf",Spectrum Business Business Cable Order 280583,Order,"Wednesday, June 17, 2020",6/17/2020,Spectrum Business,Provider,DCI FOR ENCORE REHAB @ ARBORS AT MIFFLIN,Customer,0 Years,0,,, $74.98 ,,['BUSINESS CABLE 100x10M with 1 Static IP'],[],[],"['1600 CRIDER RD THERAPY GYM OFFICE MANSFIELD, OH 44903-9268', '1700 Union Ave Suite B Baltimore MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592412675_Encore Rehab Spectrum Coax # 442  S Green St Therapy Gym Thomaston, GA.pdf",T4WO-8201 Spectrum Business Business Cable Order 279090,Order,"Wednesday, June 17, 2020",6/17/2020,Spectrum Business,Provider,DCI for Encore Rehab @ Providence Healthcare of Thomaston,Customer,0 Years,0,,, $74.98 ,,['BUSINESS CABLE 200x10M with 1 Static IP'],[],[],"['1011 S GREEN ST THERAPY GYM THOMASTON, GA 30286-4643', '1700 Union Ave Suite B Baltimore MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592413915_Encore Rehab Spectrum Coax # 442 Simmons Street Dublin, GA.pdf",Spectrum Business Business Cable Order Created for DCi for Encore @ Southland Nursing & Rehab,Order,26-Jul-18,7/26/2018,Telarus,Provider,DCI FOR ENCORE @ SOUTHLAND NURSING & REHAB,Customer,0 Years,0,,, $74.98 ,,['Business Cable'],[],[],"['606 SIMMONS ST DUBLIN, GA 31021-3918']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592414091_Encore Rehab Spectrum Coax # 360 E Maple St. North Canton, OH.pdf",Spectrum Business Business Cable Order for DCi for Encore @ Windsor Medical Center,Order,9-Apr-18,4/9/2018,Spectrum Business,Provider,DCI FOR ENCORE @ WINDSOR MEDICAL CENTER,Customer,0 Years,0,,, $74.98 ,,['Business Cable'],[],[],"['1454 E MAPLE ST PHYSICAL THERAPY ROOM NORTH CANTON, OH 44720-2634']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592413639_Encore Rehab Spectrum Coax #630 Urbanna Dr Therapy Gym Freeburg, IL.pdf",T4WO-7642 DCi for Encore @ Freeburg Care Center,Order,"Thursday, September 13, 2018",9/13/2018,"Distributed Computing, Inc.",Provider,Encore @ Freeburg Care Center,Customer,,,,, $124.98 , $99.00 ,"['Spectrum Coax', '300x20M with 1 Static IP']",[],['modem'],"['746 URBANNA DR Therapy Gym FREEBURG, IL 62243-19043', '1700 Union Ave Suite B Baltimore, MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592413314_Encore Rehab Spectrum Coax # 420 Park Ave Therapy Gym Adamsville, TN .pdf",Spectrum Business Business Cable Order 272263,Order,"Tuesday, October 2, 2018",10/2/2018,Spectrum Business,Provider,DCI FOR ENCORE REHAB @ ADAMSVILLE HEALTHCARE,Customer,0 Years,0,,, $74.98 , $99.00 ,"['Spectrum Coax', '100x10M with 1 Static IP']",[],['modem'],"['409 PARK AVE THERAPY GYM ADAMSVILLE, TN 38310-2461', '1700 Union Ave Suite B Baltimore, MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541592412926_Encore Rehab Spectrum Coax # 430 E Manslick Rd Therapy Gym Office Louisville, KY.pdf",Spectrum Business Business Cable Order 276616,Order,6-Nov-18,11/6/2018,Spectrum Business,Provider,DCI FOR ENCORE @ WESLEY MANOR RETIREMENT COMMUNITY,Customer,0 Years,0,,, $74.98 ,,"['Business Cable', 'Service requested 100x10M with 1 Static IP']",[],[],"['5012 E MANSLICK RD THERAPY GYM OFFICE LOUISVILLE, KY 40219-5165', '1700 Union Ave Suite B Baltimore MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594831858_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,3/22/2016,3/22/2016,Time Warner Cable,Provider,DCi for SACO BAY,Customer,24,24,,," $2,499.90 ", $-   ,"['50x5 HSD', '1 Static IP']",[],[],"['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594832727_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,3/22/2016,3/22/2016,Time Warner Cable,Provider,DCi for SACO BAY,Customer,24,24,,," $2,499.90 ", $-   ,"['50x5 HSD', '1 Static IP']",[],[],"['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594832642_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Order,3/22/2016,3/22/2016,Time Warner Cable,Provider,DCi for SACO BAY,Customer,24,24,,," $2,499.90 ", $-   ,"['50x5 HSD', '1 Static IP']",[],[],"['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594832839_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Order,3/22/2016,3/22/2016,Time Warner Cable,Provider,DCi for SACO BAY,Customer,24,24,,," $2,499.90 ", $-   ,"['50x5 HSD', '1 Static IP']",[],[],"['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594833193_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Order,3/22/2016,3/22/2016,Time Warner Cable,Provider,DCi for SACO BAY,Customer,24,24,,," $2,499.90 ", $-   ,"['50x5 HSD', '1 Static IP']",[],[],"['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594833033_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,3/22/2016,3/22/2016,Time Warner Cable,Provider,DCi for SACO BAY,Customer,24,24,,," $2,499.90 ", $-   ,"['50x5 HSD', '1 Static IP']",[],[],"['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594833126_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Order,3/22/2016,3/22/2016,Time Warner Cable,Provider,DCi for SACO BAY,Customer,24,24,,," $2,499.90 ", $-   ,"['50x5 HSD', '1 Static IP']",[],[],"['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594832910_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Agreement,3/22/2016,3/22/2016,Time Warner Cable,Provider,DCi for SACO BAY,Customer,24,24,,," $2,499.90 ", $-   ,"['50x5 HSD', '1 Static IP']",[],[],"['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594833267_1403906-2016_03_22_16_01_10.pdf,Service Agreement and Service Order,Service Order,3/22/2016,3/22/2016,Time Warner Cable,Provider,DCi for SACO BAY,Customer,24,24,,," $2,499.90 ", $-   ,"['50x5 HSD', '1 Static IP']",[],[],"['55 MAIN STREET BRIDGTON, ΜΕ 04009', '325 US ROUTE 1 FALMOUTH, ΜΕ 04105', '65 PORTLAND RD KENNEBUNK, ΜΕ 04043', '29 FODEN RD SOUTH PORTLAND, ΜΕ 04106', '400 NORTH STREET SACO, ME 04072', '55 SPRING STREET SCARBOROUGH, ΜΕ 04074', '111 OSSIPEE TRAIL EAST STANDISH, ME 04084', '869 MAIN STREET WESTBROOK, ΜΕ 04092', '4 COMMONS AVE WINDHAM, ΜΕ 04062', '8 MARKET PLACE DRIVE YORK, ΜΕ 03909']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594910338_1474436-TWC_Agmt-_SPT_Apex_NC_OCB41243.pdf,Service Agreement and Service Order,Service Agreement and Service Order,11/30/2016,11/30/2016,Time Warner Cable,Provider,DCi for Select Physical therapy Apex OCB 41243,Customer,12,12,,, $119.99 , $-   ,"['50x5 Mbps PROMO', '1 Static IP']",[],[],"['13820 Sunrise Valley Drive, Herndon, VA 20171', '9772 Holly Springs Rd Apex, NC 27539', '1700 Union Av B Baltimore, MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594915371_ Select Medical Spectrum Coax # 40975 Myrtle Beach, SC.pdf",T4WO-345,Order,10/23/2015,10/23/2015,Spectrum Business,Provider,Select Medical Physical Therapy,Customer,2 Years,24,AUTO-RENEW (NO PAPERWORK),, $259.98 ,,['Business Cable'],[],[],"['8170 ROURK ST MYRTLE BEACH, SC 29572-4127']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594915033_ Select Medical Spectrum Coax # 41152 Salisbury, NC.pdf",T4WO-329,Order,6/11/2015,6/11/2015,Spectrum Business,Provider,Select Medical Physical Therapy,Customer,3 Years,36,AUTO-RENEW (NO PAPERWORK),, $239.98 ,,['Business Cable'],[],[],"['320 JAKE ALEXANDER BLVD W STE 106 SALISBURY, NC 28147-1442']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594918648_ Select Medical Spectrum Coax #40784 Auburn, ME.pdf",Time Warner Cable Business Cable Order,Order,16-Jul-20,7/16/2020,Telarus,Provider,DCI FOR SACO BAY PHYSICAL THERAPY,Customer,(Term: 2 Years),24,,, $249.99 ,,['Time Warner Cable Business Cable'],[],[],"['690 MINOT AVE STE 2 AUBURN, MΕ 04210-3922']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594992073_ Select Medical Spectrum Coax #26808 Shively, KY.pdf",T4WO-493 DCi for Kort Shively KY 04030,Order,10/11/2017,10/11/2017,Spectrum,Provider,Madison Frank,Customer,,,,,,,['twc spectrum'],[],[],['Kort Shively KY 04030'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594920411_ Select Medical Spectrum Coax # 26824 Shelbyville KY.pdf,Time Warner Cable Business Cable Order,Order,"Thursday, July 16, 2020",7/16/2020,Telarus,Provider,DCI FOR KORT SHELBYVILLE OCB 04081,Customer,3 Years,36,,, $249.80 ,,['Business Cable'],[],[],"['160 FRANKFORT RD SHELBYVILLE, KY 40065-9433']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594921231_ Select Medical Spectrum Coax # 26823 Louisville, KY.pdf",Time Warner Cable Business Cable Order,Order,"Thursday, June 11, 2015",6/11/2015,Time Warner Cable,Provider,DCI FOR SELECT PHYSICAL THERAPY,Customer,3 Years,36,,, $186.99 ,,['Business Cable'],[],[],"['315 E BROADWAY STE 195 LOUISVILLE, KY 40202-3700']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594920737_ Select Medical Spectrum Coax # 04048 Taylorsville, KY.pdf",T4WO-489 Spectrum - (Time Warner Cable) Business Cable Order Created for DCi for Kort Taylorsville KY ocb 04074,Order,"Thursday, July 16, 2020",7/16/2020,Telarus,Provider,DCI FOR KORT TAYLORSVILLE KY OCB 04074,Customer,0 Years,0,,, $69.98 ,,['Business Cable'],[],[],"['543 TAYLORSVILLE RD STE 101 TAYLORSVILLE, KY 40071-6766']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594992387_ Select Medical Spectrum Coax # 26805 Louisville, KY.pdf",T4WO-495 Time Warner Cable Business Cable Order,Order,"Thursday, July 16, 2020",7/16/2020,Time Warner Cable,Provider,DCi for Select Medical Physical Therapy,Customer,2 Years,24,,, $249.99 ,,['Business Cable'],[],[],"['7926 PRESTON HWY STE 101 LOUISVILLE, KY 40219-3848']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594992236_ Select Medical Spectrum Coax # 26829 Louisville, KY.pdf",Time Warner Cable Business Cable Order Created for DCi for Select Physical Therapy,Order,"Thursday, June 11, 2015",6/11/2015,Time Warner Cable,Provider,DCI for Select Physical Therapy,Customer,(Term: 3 Years),36,,, $186.99 ,,['Business Cable'],[],[],"['1227 GOSS AVE\nLOUISVILLE, KY 40217-1239']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10541594915506_1460364-BHN_Agmt_Lake_Nona_OCB_41235[1].pdf,Business Solutions Order Form,Order,8/10/2016,8/10/2016,Bright House Networks,Provider,DCi for Select Physical Therapy Lake Nona,Customer,Month to Month,,,, $150.00 , $-   ,"['Business Phone', 'Business Internet', 'Static IP', 'Business WiFi', 'Guest WiFi']",[],[],"['9145 Narcoossee Rd Suite A 204 Orlando FL 32828', '1700 Union Ave Suite B Baltimore MD 21211']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594993433_ Select Medical Spectrum Coax # 26809 Louisville, KY.pdf",Time Warner Cable Business Cable Order,Order,"Thursday, June 11, 2015",6/11/2015,Time Warner Cable,Provider,DCI FOR SELECT PHYSICAL THERAPY,Customer,3 Years,36,,, $186.99 ,,['Business Cable'],[],[],"['10631 DIXIE HWY\nLOUISVILLE, KY 40272-4349']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594992531_ Select Medical Spectrum Coax # 04016 Louisville, KY.pdf",Time Warner Cable Internet T1 Order,Order,"Thursday, August 18, 2016",8/18/2016,Telarus,Provider,DCI FOR SELECT MEDICAL PHYSICAL THERAPY,Customer,(Term: 3 Years),36,,, $114.99 ,,['Internet T1'],[],[],"['4430 CRAWFORD AVE LOUISVILLE, KY 40258-3706']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594993573_ Select Medical Spectrum Coax # 04027 Nicholasville, KY.pdf",T4WO-502 Time Warner Cable Business Cable Order,Order,"Thursday, August 25, 2016",8/25/2016,Telarus,Provider,DCI FOR KORT NICHOLASVILLE,Customer,2 Years,24,,, $119.99 ,,['Business Cable'],[],[],"['102 WILLIAMS RD\nNICHOLASVILLE, KY 40356-1917']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594997022_ Select Medical Spectrum Coax #04054 Richmond, KY.pdf",Time Warner Cable Business Cable Order,Order,17-Jul-20,7/17/2020,Time Warner Cable,Provider,DCi for Select Physical Therapy,Customer,3 Years,36,,, $186.99 ,,['Business Cable'],[],[],"['5006 ATWOOD DR STE 2 RICHMOND, KY 40475-8179']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594996536_ Select Medical Spectrum Coax #04077 Versailles, KY.pdf",T4WO-505 Time Warner Cable Business Cable Order,Order,"Friday, July 17, 2020",7/17/2020,Time Warner Cable,Provider,KORT OCB,Customer,0 Years,0,,, $129.99 ,,['Business Cable'],[],[],"['374 KROGER WAY VERSAILLES, KY 40383-1915']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594998919_ Select Medical Spectrum Coax # 54908 Hilliard, OH.pdf",T4WO-517 Time Warner Cable Business Cable Order,Order,"Friday, October 23, 2015",10/23/2015,Telarus,Provider,DCI for Select Medical Physical Therapy,Customer,2 Years,24,,, $249.99 ,,['Time Warner Cable Business Cable'],[],[],"['3207 HILLIARD ROME RD HILLIARD, ОН 43026-9472']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541595003717_ Select Medical Spectrum Coax # 4560 Columbus, OH.pdf",T4WO-524,Order,6/20/2017,6/20/2017,Spectrum,Provider,Madison Frank,Customer,,,,, $129.98 ,,[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10541594998725_ Select Medical Spectrum Coax # 20583 Highland Heights, KY.pdf",T4WO-513 Time Warner Cable Business Cable Order,Order,"Friday, October 23, 2015",10/23/2015,Telarus,Provider,DCI FOR SELECT MEDICAL PHYSICAL THERAPY,Customer,2 Years,24,,, $249.99 ,,['Business Cable'],[],[],"['2600 ALEXANDRIA PIKE HIGHLAND HGTS, KY 41076-1590']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
